NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other,NTA name,rate,Towers
QN12,Queens,41470,4836,11.7,15.0,28.3,16.1,47.1,5.1,3.5,Hammels-Arverne-Edgemere,4.34,
QN15,Queens,56522,7310,12.9,22.3,25.7,27.0,42.3,3.4,1.6,Far Rockaway-Bayswater,5.05,
QN17,Queens,88313,17622,20.0,13.8,15.8,49.9,2.4,27.5,4.4,Forest Hills,2.57,
QN18,Queens,27739,6120,22.1,15.7,14.9,40.5,5.2,36.8,2.5,Rego Park,1.09,
QN19,Queens,35576,4865,13.7,10.6,37.8,55.5,1.4,4.3,1.1,Glendale,1.26,
QN20,Queens,75437,6591,8.7,10.4,47.6,41.2,1.7,7.8,1.7,Ridgewood,1.91,1.0
QN21,Queens,40435,7253,17.9,7.9,20.1,67.1,0.8,10.2,1.8,Middle Village,3.69,
QN22,Queens,70219,13135,18.7,31.4,14.6,7.7,3.8,71.6,2.3,Flushing,1.17,
QN23,Queens,24795,3568,14.4,14.1,40.5,25.6,2.0,29.4,2.5,College Point,3.33,
QN25,Queens,58498,6111,10.4,24.4,63.9,6.5,13.0,15.0,1.6,Corona,2.48,
QN26,Queens,54146,3626,6.7,19.9,88.0,1.1,3.2,7.0,0.6,North Corona,2.33,
QN27,Queens,19790,2826,14.3,17.3,60.7,5.3,21.6,11.1,1.3,East Elmhurst,3.74,
QN28,Queens,98728,15448,15.6,17.2,56.0,16.6,2.6,22.9,1.9,Jackson Heights,1.99,
QN29,Queens,81745,10898,13.3,18.7,44.7,6.0,1.7,45.6,2.1,Elmhurst,1.03,
QN30,Queens,32179,4094,12.7,11.7,30.9,53.1,1.5,12.4,2.1,Maspeth,0.58,
QN31,Queens,69295,6837,9.9,10.0,31.9,38.5,2.2,24.5,3.0,Hunters Point-Sunnyside-West Maspeth,1.42,29.0
QN33,Queens,21207,4168,19.7,6.5,6.6,0.9,89.8,0.4,2.3,Cambria Heights,5.47,
QN34,Queens,54256,8071,14.9,9.4,18.5,5.6,47.7,15.3,12.8,Queens Village,3.42,
QN35,Queens,43476,5947,13.7,15.4,26.5,15.7,11.6,40.1,6.1,Briarwood-Jamaica Hills,3.08,
QN37,Queens,37584,5703,15.2,10.1,15.0,51.5,6.6,23.9,3.0,Kew Gardens Hills,3.14,
QN38,Queens,36975,4874,13.2,14.2,24.1,30.3,11.4,31.2,3.1,Pomonok-Flushing Heights-Hillcrest,2.51,
QN41,Queens,18699,3155,16.9,11.2,11.7,29.6,5.8,49.3,3.7,Fresh Meadows-Utopia,1.7,
QN42,Queens,30316,5444,18.0,10.3,9.9,37.7,2.6,46.9,2.9,Oakland Gardens,1.22,
QN43,Queens,27733,4196,15.1,10.3,21.1,25.5,7.9,41.7,3.8,Bellerose,3.42,
QN44,Queens,24365,6321,25.9,8.0,10.6,40.2,5.4,40.5,3.3,Glen Oaks-Floral Park-New Hyde Park,0.0,
QN45,Queens,25633,6310,24.6,6.7,10.0,46.0,1.0,40.4,2.6,Douglas Manor-Douglaston-Little Neck,3.21,
QN46,Queens,43212,8712,20.2,8.1,11.5,39.7,2.4,45.1,1.3,Bayside-Bayside Hills,3.98,
QN47,Queens,22700,5810,25.6,9.4,12.6,57.2,0.8,27.4,1.9,Ft. Totten-Bay Terrace-Clearview,4.27,
QN48,Queens,20588,3982,19.3,9.9,13.6,32.8,1.1,49.9,2.6,Auburndale,1.5,
QN49,Queens,31971,6978,21.8,7.4,14.5,60.7,0.4,22.2,2.2,Whitestone,3.87,
QN50,Queens,24234,3458,14.3,9.0,27.0,12.9,0.8,57.8,1.6,Elmhurst-Maspeth,1.71,
QN51,Queens,50231,9834,19.6,20.3,15.8,23.7,1.7,56.8,2.1,Murray Hill,2.28,
QN52,Queens,25677,4731,18.4,23.7,17.8,15.0,1.1,64.2,1.8,East Flushing,1.19,
QN53,Queens,60572,7126,11.8,10.1,55.2,15.5,3.1,23.6,2.5,Woodhaven,1.96,
QN54,Queens,65068,7125,11.0,13.9,36.6,10.5,7.9,31.5,13.5,Richmond Hill,1.46,
QN55,Queens,82931,10091,12.2,12.2,22.1,5.2,21.0,29.9,21.8,South Ozone Park,4.15,
QN56,Queens,24511,2748,11.2,9.9,42.5,21.5,5.3,24.9,5.8,Ozone Park,3.42,
QN57,Queens,29219,6420,22.0,9.8,22.3,67.8,1.8,5.0,3.0,Lindenwood-Howard Beach,3.96,
QN60,Queens,23166,3700,16.0,17.5,26.2,45.9,5.1,18.0,4.8,Kew Gardens,2.15,
QN61,Queens,53932,6401,11.9,18.1,35.2,3.3,15.7,34.7,11.0,Jamaica,1.5,
QN62,Queens,20269,2925,14.4,17.7,16.8,12.3,1.4,67.7,1.7,Queensboro Hill,5.81,
QN63,Queens,43841,6896,15.7,14.9,33.8,22.6,0.8,40.4,2.3,Woodside,1.92,
QN66,Queens,26544,4659,17.6,5.8,5.7,1.2,89.7,0.7,2.7,Laurelton,3.57,
QN68,Queens,19228,2184,11.4,36.2,34.5,15.5,25.0,21.0,4.0,Queensbridge-Ravenswood-Long Island City,3.42,24.0
QN70,Queens,74767,9731,13.0,16.7,26.4,50.3,3.6,16.7,3.0,Astoria,0.99,
QN71,Queens,24732,3123,12.6,19.1,32.5,39.4,9.8,15.6,2.7,Old Astoria,3.9,6.0
QN72,Queens,48235,6737,14.0,9.3,20.9,62.8,2.5,11.3,2.4,Steinway,2.08,
QN76,Queens,39203,4595,11.7,7.5,12.3,1.0,68.5,7.1,11.1,Baisley Park,4.11,
QN99,Queens,159,48,30.2,31.2,44.0,45.3,0.0,10.7,0.0,,,1.0
SI01,StatenIsla,28976,5354,18.5,5.2,7.3,86.8,0.9,3.9,1.0,Annadale-Huguenot-Prince's Bay-Eltingville,0.77,
SI05,StatenIsla,41936,7233,17.2,10.7,14.9,58.9,4.1,19.4,2.7,New Springville-Bloomfield-Travis,2.22,
SI07,StatenIsla,24111,3882,16.1,9.3,15.6,71.1,3.2,8.9,1.2,Westerleigh,0.7,
SI08,StatenIsla,21707,2538,11.7,22.8,27.6,27.4,32.2,11.0,1.8,Grymes Hill-Clifton-Fox Hills,2.61,
SI11,StatenIsla,24275,2778,11.4,8.4,9.8,85.5,0.9,3.3,0.6,Charleston-Richmond Valley-Tottenville,0.84,
SI12,StatenIsla,31907,3169,9.9,21.6,37.3,21.6,28.5,10.1,2.5,Mariner's Harbor-Arlington-Port Ivory-Graniteville,2.01,
SI14,StatenIsla,16292,2415,14.8,11.5,14.6,62.8,7.2,12.7,2.7,Grasmere-Arrochar-Ft. Wadsworth,1.84,
SI22,StatenIsla,32172,4218,13.1,20.1,33.0,24.3,31.4,5.6,5.7,West New Brighton-New Brighton-St. George,3.63,
HSI24,StatenIsla,32348,6313,19.5,8.8,10.2,71.2,2.3,14.6,1.7,,,
SI25,StatenIsla,20509,4136,20.2,11.2,14.4,76.7,2.0,4.2,2.7,Oakwood-Oakwood Beach,4.36,
SI28,StatenIsla,19545,2228,11.4,10.1,38.3,37.0,16.5,6.7,1.5,Port Richmond,2.86,
SI32,StatenIsla,22197,3961,17.8,12.2,8.5,86.1,0.1,3.6,1.7,Rossville-Woodrow,2.9,
SI35,StatenIsla,17105,2902,17.0,9.0,23.8,60.8,7.3,5.8,2.4,New Brighton-Silver Lake,3.71,
SI36,StatenIsla,25453,3984,15.7,15.1,15.5,67.0,4.9,10.0,2.5,Old Town-Dongan Hills-South Beach,3.81,
SI37,StatenIsla,25347,3520,13.9,18.3,28.4,37.3,20.2,11.0,3.1,Stapleton-Rosebank,5.3,
SI45,StatenIsla,20933,3205,15.3,7.4,15.1,73.9,3.5,6.7,0.8,New Dorp-Midland Beach,0.74,
