NTA name,NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other
Springfield Gardens South-Brookville,QN03,Queens,22380,3037,13.6,7.3,5.6,3,87.1,1.9,2.4
Rosedale,QN05,Queens,26117,3284,12.6,7.9,10.3,3.4,81.1,2.2,3.0
Jamaica Estates-Holliswood,QN06,Queens,26517,4685,17.7,9.8,15.4,22.3,24.7,32.5,5.2
Hollis,QN07,Queens,21448,2994,14,7.3,10.3,2.4,63.8,14.8,8.7
St. Albans,QN08,Queens,53134,7772,14.6,9.9,5.6,1.3,88.1,2.2,2.8
Breezy Point-Belle Harbor-Rockaway Park-Broad,ChaQN10,Queens,27894,5585,20,11.2,13.6,75.6,5.8,2.8,2.2
Hammels-Arverne-Edgemere,QN12,Queens,41470,4836,11.7,15,28.3,16.1,47.1,5.1,3.5
Far Rockaway-Bayswater,QN15,Queens,56522,7310,12.9,22.3,25.7,27,42.3,3.4,1.6
Forest Hills,QN17,Queens,88313,17622,20,13.8,15.8,49.9,2.4,27.5,4.4
Rego Park,QN18,Queens,27739,6120,22.1,15.7,14.9,40.5,5.2,36.8,2.5
Glendale,QN19,Queens,35576,4865,13.7,10.6,37.8,55.5,1.4,4.3,1.1
Ridgewood,QN20,Queens,75437,6591,8.7,10.4,47.6,41.2,1.7,7.8,1.7
Middle Village,QN21,Queens,40435,7253,17.9,7.9,20.1,67.1,0.8,10.2,1.8
Flushing,QN22,Queens,70219,13135,18.7,31.4,14.6,7.7,3.8,71.6,2.3
College Point,QN23,Queens,24795,3568,14.4,14.1,40.5,25.6,2,29.4,2.5
Corona,QN25,Queens,58498,6111,10.4,24.4,63.9,6.5,13,15,1.6
North Corona,QN26,Queens,54146,3626,6.7,19.9,88,1.1,3.2,7,0.6
East Elmhurst,QN27,Queens,19790,2826,14.3,17.3,60.7,5.3,21.6,11.1,1.3
Jackson Heights,QN28,Queens,98728,15448,15.6,17.2,56,16.6,2.6,22.9,1.9
Elmhurst,QN29,Queens,81745,10898,13.3,18.7,44.7,6,1.7,45.6,2.1
Maspeth,QN30,Queens,32179,4094,12.7,11.7,30.9,53.1,1.5,12.4,2.1
Hunters Point-Sunnyside-West Maspeth,QN31,Queens,69295,6837,9.9,10,31.9,38.5,2.2,24.5,3.0
Cambria Heights,QN33,Queens,21207,4168,19.7,6.5,6.6,0.9,89.8,0.4,2.3
Queens Village,QN34,Queens,54256,8071,14.9,9.4,18.5,5.6,47.7,15.3,12.8
Briarwood-Jamaica Hills,QN35,Queens,43476,5947,13.7,15.4,26.5,15.7,11.6,40.1,6.1
Kew Gardens Hills,QN37,Queens,37584,5703,15.2,10.1,15,51.5,6.6,23.9,3.0
Pomonok-Flushing Heights-Hillcrest,QN38,Queens,36975,4874,13.2,14.2,24.1,30.3,11.4,31.2,3.1
Fresh Meadows-Utopia,QN41,Queens,18699,3155,16.9,11.2,11.7,29.6,5.8,49.3,3.7
Oakland Gardens,QN42,Queens,30316,5444,18,10.3,9.9,37.7,2.6,46.9,2.9
Bellerose,QN43,Queens,27733,4196,15.1,10.3,21.1,25.5,7.9,41.7,3.8
Glen Oaks-Floral Park-New Hyde Park,QN44,Queens,24365,6321,25.9,8,10.6,40.2,5.4,40.5,3.3
Douglas Manor-Douglaston-Little Neck,QN45,Queens,25633,6310,24.6,6.7,10,46,1,40.4,2.6
Bayside-Bayside Hills,QN46,Queens,43212,8712,20.2,8.1,11.5,39.7,2.4,45.1,1.3
Ft. Totten-Bay Terrace-Clearview,QN47,Queens,22700,5810,25.6,9.4,12.6,57.2,0.8,27.4,1.9
