id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
144,true,true,true,40.68579640,-73.97553976,6068.5,"120 S Elliott Pl, Brooklyn, NY 11217-1509, United States",0.85
145,true,true,true,40.68972708,-73.98877911,7188.3,"120-132 Schermerhorn St, Brooklyn, NY 11201, USA",0.77
146,true,true,true,40.68970165,-73.98879680,7187.6,"120-132 Schermerhorn St, Brooklyn, NY 11201, USA",0.70
147,true,true,true,40.59172233,-73.95849638,6864.3,"1202 Avenue X, Brooklyn, NY 11235, USA",0.50
148,true,true,true,40.67214425,-73.93725317,2942.5,"1202 Park Pl, Brooklyn, NY 11213, USA",0.57
149,true,true,true,40.72072893,-73.95593765,8566.5,"121 N 11th St, Brooklyn, NY 11249, USA",0.43
150,true,true,true,40.70749683,-73.92832420,6673.4,"122 Ingraham St, Brooklyn, NY 11237, USA",0.71
151,true,true,true,40.70929667,-73.92589469,6866.2,"122 Stewart Ave, Brooklyn, NY 11237, USA",0.50
152,true,true,true,40.67339164,-73.93697019,3063.2,"1229 Park Pl, Brooklyn, NY 11213, USA",0.54
153,true,true,true,40.65341833,-73.96440132,3454.0,"123 Parkside Ave, Brooklyn, NY 11226, USA",0.72
154,true,true,true,40.67214310,-73.93722007,2941.3,"1232 Park Pl, Brooklyn, NY 11213, USA",0.57
155,true,true,true,40.60809602,-74.02606108,9664.1,"125 Wainwright Dr., Brooklyn, NY 11209, USA",0.85
156,true,true,true,40.60810987,-74.02609839,9666.2,"125 Wainwright Dr., Brooklyn, NY 11209, USA",0.84
157,true,true,true,40.60810657,-74.02605667,9663.2,"125 Wainwright Dr., Brooklyn, NY 11209, USA",0.76
